name,display_address,type,rating,review_count,price,latitude,longitude,bid
House of Prime Rib,"1906 Van Ness Ave, San Francisco, CA 94109",American (Traditional),4.52,7912,$$$,37.793338,-122.422827,3350
Burma Superstar,"309 Clement St, San Francisco, CA 94118",Burmese,4.69,7145,$$,37.783004,-122.462539,1977
B Patisserie,"2821 California St, San Francisco, CA 94115",Bakeries,4.77,3006,$$,37.788014,-122.440756,71696
Kokkari Estiatorio,"200 Jackson St, San Francisco, CA 94111",Greek,4.81,4843,$$$,37.796918,-122.399864,2858
San Tung,"1031 Irving St, San Francisco, CA 94122",Chinese,4.58,7497,$$,37.763891,-122.468805,67330
Nopa,"560 Divisadero St, San Francisco, CA 94117",American (New),4.49,5233,$$$,37.774778,-122.437717,18921
El Farolito,"2779 Mission St, San Francisco, CA 94110",Mexican,4.43,5184,$,37.752634,-122.418486,2356
Zazie,"941 Cole St, San Francisco, CA 94117",Breakfast & Brunch,4.8,4860,$$,37.765343,-122.449914,1595
Sweet Maple,"2101 Sutter St, San Francisco, CA 94115",American (Traditional),4.96,4295,$$,37.785833,-122.434938,64021
Sotto Mare,"552 Green St, San Francisco, CA 94133",Seafood,4.76,4448,$$,-9999.0,-9999.0,80931
Golden Boy Pizza,"542 Green St, San Francisco, CA 94133",Pizza,4.58,3970,$,37.799648,-122.408033,847
Tony's Pizza Napoletana,"1570 Stockton St, San Francisco, CA 94133",Pizza,4.52,5866,$$,37.800297,-122.409107,58879
Foreign Cinema,"2534 Mission St, San Francisco, CA 94110",Breakfast & Brunch,4.51,5156,$$$,37.756417,-122.418884,2893
Mama's On Washington Square,"1701 Stockton St, San Francisco, CA 94133",Breakfast & Brunch,4.91,4529,$$,37.801554,-122.409434,2172
La Taqueria,"2889 Mission St, San Francisco, CA 94110",Mexican,4.9,4361,$$,37.750855,-122.418286,2360
The Codmother Fish & Chips,"496 Beach St, San Francisco, CA 94133",British,4.8,3167,$$,-9999.0,-9999.0,90147
Kitchen Story,"3499 16th St, San Francisco, CA 94114",Breakfast & Brunch,4.28,3755,$$,-9999.0,-9999.0,70184
Nara Restaurant & Sake Bar,"518 Haight St, San Francisco, CA 94117",Japanese,4.51,1767,$$,-9999.0,-9999.0,80201
State Bird Provisions,"1529 Fillmore St, San Francisco, CA 94115",Tapas/Small Plates,4.08,2948,$$$,37.783704,-122.432824,68152
Espetus Churrascaria,"1686 Market St, San Francisco, CA 94102",Steakhouses,4.7,3621,$$$,37.773317,-122.421724,3926
Farmhouse Kitchen Thai Cuisine,"710 Florida St, San Francisco, CA 94110",Thai,4.35,3238,$$,-9999.0,-9999.0,82413
Schubert's Bakery,"521 Clement St, San Francisco, CA 94118",Bakeries,4.73,1879,$$,37.782893,-122.464948,3186
Beretta,"1199 Valencia St, San Francisco, CA 94110",Italian,4.57,3941,$$,37.753823,-122.420786,3626
Garden Creamery,"3566 20th St, San Francisco, CA 94110",Ice Cream & Frozen Yogurt,4.73,1114,$,-9999.0,-9999.0,87404
Surisan,"505 Beach St, San Francisco, CA 94133",Korean,4.76,2691,$$,-9999.0,-9999.0,86486
Suppenküche,"525 Laguna St, San Francisco, CA 94102",German,4.55,3233,$$,37.776294,-122.426264,3643
Marco Polo Italian Ice Cream,"1447 Taraval St, San Francisco, CA 94116",Ice Cream & Frozen Yogurt,4.59,1617,$,37.742728,-122.481566,4671
Tacorea,"809 Bush St, San Francisco, CA 94108",Mexican,4.51,1872,$$,-9999.0,-9999.0,88539
Chez Maman East,"1401 18th St, San Francisco, CA 94107",French,4.76,2243,$$,-9999.0,-9999.0,82944
Philz Coffee,"3101 24th St, San Francisco, CA 94110",Coffee & Tea,4.9,1717,$,37.752455,-122.414116,33710
Swan Oyster Depot,"1517 Polk St, San Francisco, CA 94109",Seafood,3.81,3043,$$,37.790734,-122.420783,639
Good Mong Kok Bakery,"1039 Stockton St, San Francisco, CA 94108",Bakeries,4.35,3100,$,-9999.0,-9999.0,80081
U :Dessert Story,"3489 16th St, San Francisco, CA 94114",Desserts,4.45,2016,$$,-9999.0,-9999.0,94605
Loló,"974 Valencia St, San Francisco, CA 94110",Mexican,4.11,2341,$$,-9999.0,-9999.0,77462
Plow,"1299 18th St, San Francisco, CA 94107",Breakfast & Brunch,4.46,2881,$$,37.762588,-122.395534,63304
Tropisueño,"75 Yerba Buena Ln, San Francisco, CA 94103",Cocktail Bars,4.32,4640,$$,37.785638,-122.404189,38566
Lolinda,"2518 Mission St, San Francisco, CA 94110",Steakhouses,4.01,2149,$$$,37.756698,-122.418951,69403
L’Ardoise Bistro,"151 Noe St, San Francisco, CA 94114",French,4.71,1354,$$$,37.766653,-122.433258,36277
Wayfare Tavern,"558 Sacramento St, San Francisco, CA 94111",American (Traditional),4.59,4207,$$$,37.793907,-122.402304,62701
Absinthe Brasserie & Bar,"398 Hayes St, San Francisco, CA 94102",French,4.13,3336,$$$,37.77694,-122.422962,3611
Eight AM,"1323 Columbus Ave, San Francisco, CA 94133",American (New),4.56,1536,$$,-9999.0,-9999.0,78781
Blue Bottle Coffee,"315 Linden St, San Francisco, CA 94102",Coffee & Tea,4.98,1702,$$,37.77634,-122.423099,14075
Pearl's Deluxe Burgers,"708 Post St, San Francisco, CA 94109",Burgers,3.83,2317,$$,37.787677,-122.413634,65898
Blue Bottle Coffee,"66 Mint St, San Francisco, CA 94103",Coffee & Tea,3.94,2259,$$,37.782368,-122.40743,36494
Sunday Social,"699 22nd St, San Francisco, CA 94107",Ice Cream & Frozen Yogurt,4.91,1476,$$,37.757908,-122.388189,62251
Zero Zero,"826 Folsom St, San Francisco, CA 94107",Pizza,4.37,3345,$$,37.781494,-122.401909,63597
Mensho Tokyo SF,"672 Geary St, San Francisco, CA 94102",Ramen,3.91,2525,$$,-9999.0,-9999.0,82074
Frances,"3870 17th St, San Francisco, CA 94114",American (New),4.59,1509,$$$,37.762698,-122.432232,61326
Home Coffee Roasters,"1222 Noriega St, San Francisco, CA 94122",Coffee & Tea,4.66,1295,$$,-9999.0,-9999.0,75429
Philz Coffee,"201 Berry St, San Francisco, CA 94158",Coffee & Tea,4.8,1422,$,37.775487,-122.393661,33709
Deli Board,"1058 Folsom St, San Francisco, CA 94103",Delis,4.66,1524,$$,37.777504,-122.406948,66925
Marlowe,"500 Brannan St, San Francisco, CA 94107",Diners,4.63,2732,$$$,-9999.0,-9999.0,80063
The Buena Vista,"2765 Hyde St, San Francisco, CA 94109",Bars,4.02,2866,$$,37.806493,-122.420554,3324
Lapisara Eatery,"698 Post St, San Francisco, CA 94109",Breakfast & Brunch,4.54,1086,$$,-9999.0,-9999.0,94578
Thanh Long,"4101 Judah St, San Francisco, CA 94122",Seafood,4.38,2939,$$$,37.760383,-122.50609,3228
The Italian Homemade Company,"716 Columbus Ave, San Francisco, CA 94133",Italian,4.57,1739,$$,-9999.0,-9999.0,78601
The Bird,"115 New Montgomery St, San Francisco, CA 94105",Chicken Shop,4.13,2172,$,-9999.0,-9999.0,89128
Woodhouse Fish Company,"1914 Fillmore St, San Francisco, CA 94115",Seafood,4.28,2426,$$,37.787386,-122.433476,59009
Bar Crudo,"655 Divisadero St, San Francisco, CA 94117",Seafood,4.22,1890,$$$,37.775684,-122.437965,59154
Devil's Teeth Baking Company,"3876 Noriega St, San Francisco, CA 94122",Bakeries,4.68,1918,$,-9999.0,-9999.0,87122
