,iid,date,score,type,bid,timestamp,year
219,100504_20190411,04/11/2019 12:00:00 AM,88,Routine - Unscheduled,100504,2019-04-11,2019
220,100504_20190619,06/19/2019 12:00:00 AM,-1,New Ownership,100504,2019-06-19,2019
221,100504_20190927,09/27/2019 12:00:00 AM,-1,Reinspection/Followup,100504,2019-09-27,2019
331,100992_20190517,05/17/2019 12:00:00 AM,-1,Non-inspection site visit,100992,2019-05-17,2019
332,100992_20190621,06/21/2019 12:00:00 AM,-1,New Ownership,100992,2019-06-21,2019
333,100992_20190703,07/03/2019 12:00:00 AM,-1,New Ownership - Followup,100992,2019-07-03,2019
334,100992_20190822,08/22/2019 12:00:00 AM,88,Routine - Unscheduled,100992,2019-08-22,2019
335,100992_20190906,09/06/2019 12:00:00 AM,-1,Reinspection/Followup,100992,2019-09-06,2019
696,102398_20190813,08/13/2019 12:00:00 AM,90,Routine - Unscheduled,102398,2019-08-13,2019
697,102398_20190821,08/21/2019 12:00:00 AM,-1,Reinspection/Followup,102398,2019-08-21,2019
789,1043_20171116,11/16/2017 12:00:00 AM,87,Routine - Unscheduled,1043,2017-11-16,2017
790,1043_20180928,09/28/2018 12:00:00 AM,83,Routine - Unscheduled,1043,2018-09-28,2018
791,1047_20180822,08/22/2018 12:00:00 AM,83,Routine - Unscheduled,1047,2018-08-22,2018
792,1047_20180914,09/14/2018 12:00:00 AM,-1,Reinspection/Followup,1047,2018-09-14,2018
793,1047_20181022,10/22/2018 12:00:00 AM,-1,Reinspection/Followup,1047,2018-10-22,2018
812,10668_20180105,01/05/2018 12:00:00 AM,96,Routine - Unscheduled,10668,2018-01-05,2018
813,1075_20170726,07/26/2017 12:00:00 AM,87,Routine - Unscheduled,1075,2017-07-26,2017
814,1075_20170808,08/08/2017 12:00:00 AM,-1,Reinspection/Followup,1075,2017-08-08,2017
815,1075_20180427,04/27/2018 12:00:00 AM,89,Routine - Unscheduled,1075,2018-04-27,2018
816,1075_20190926,09/26/2019 12:00:00 AM,94,Routine - Unscheduled,1075,2019-09-26,2019
817,1081_20171106,11/06/2017 12:00:00 AM,88,Routine - Unscheduled,1081,2017-11-06,2017
818,1081_20171204,12/04/2017 12:00:00 AM,-1,Reinspection/Followup,1081,2017-12-04,2017
819,1081_20180202,02/02/2018 12:00:00 AM,-1,Reinspection/Followup,1081,2018-02-02,2018
820,1081_20180523,05/23/2018 12:00:00 AM,94,Routine - Unscheduled,1081,2018-05-23,2018
821,1081_20190417,04/17/2019 12:00:00 AM,89,Routine - Unscheduled,1081,2019-04-17,2019
822,1081_20190520,05/20/2019 12:00:00 AM,-1,Reinspection/Followup,1081,2019-05-20,2019
826,10875_20171221,12/21/2017 12:00:00 AM,-1,Complaint,10875,2017-12-21,2017
827,10875_20180411,04/11/2018 12:00:00 AM,90,Routine - Unscheduled,10875,2018-04-11,2018
828,10875_20180425,04/25/2018 12:00:00 AM,-1,Reinspection/Followup,10875,2018-04-25,2018
829,10875_20180524,05/24/2018 12:00:00 AM,-1,Foodborne Illness Investigation,10875,2018-05-24,2018
830,10875_20190313,03/13/2019 12:00:00 AM,92,Routine - Unscheduled,10875,2019-03-13,2019
907,1144_20161006,10/06/2016 12:00:00 AM,-1,Reinspection/Followup,1144,2016-10-06,2016
908,1144_20170828,08/28/2017 12:00:00 AM,88,Routine - Unscheduled,1144,2017-08-28,2017
909,1144_20170919,09/19/2017 12:00:00 AM,-1,Reinspection/Followup,1144,2017-09-19,2017
910,1144_20180226,02/26/2018 12:00:00 AM,88,Routine - Unscheduled,1144,2018-02-26,2018
911,1144_20180307,03/07/2018 12:00:00 AM,-1,Reinspection/Followup,1144,2018-03-07,2018
912,1144_20180828,08/28/2018 12:00:00 AM,92,Routine - Unscheduled,1144,2018-08-28,2018
