iid,date,score,type,bid,timestamp,year
100504_20190411,04/11/2019 12:00:00 AM,88,Routine - Unscheduled,100504,2019-04-11,2019
100504_20190619,06/19/2019 12:00:00 AM,-1,New Ownership,100504,2019-06-19,2019
100504_20190927,09/27/2019 12:00:00 AM,-1,Reinspection/Followup,100504,2019-09-27,2019
100992_20190517,05/17/2019 12:00:00 AM,-1,Non-inspection site visit,100992,2019-05-17,2019
100992_20190621,06/21/2019 12:00:00 AM,-1,New Ownership,100992,2019-06-21,2019
100992_20190703,07/03/2019 12:00:00 AM,-1,New Ownership - Followup,100992,2019-07-03,2019
100992_20190822,08/22/2019 12:00:00 AM,88,Routine - Unscheduled,100992,2019-08-22,2019
100992_20190906,09/06/2019 12:00:00 AM,-1,Reinspection/Followup,100992,2019-09-06,2019
102398_20190813,08/13/2019 12:00:00 AM,90,Routine - Unscheduled,102398,2019-08-13,2019
102398_20190821,08/21/2019 12:00:00 AM,-1,Reinspection/Followup,102398,2019-08-21,2019
1043_20171116,11/16/2017 12:00:00 AM,87,Routine - Unscheduled,1043,2017-11-16,2017
1043_20180928,09/28/2018 12:00:00 AM,83,Routine - Unscheduled,1043,2018-09-28,2018
1047_20180822,08/22/2018 12:00:00 AM,83,Routine - Unscheduled,1047,2018-08-22,2018
1047_20180914,09/14/2018 12:00:00 AM,-1,Reinspection/Followup,1047,2018-09-14,2018
1047_20181022,10/22/2018 12:00:00 AM,-1,Reinspection/Followup,1047,2018-10-22,2018
10668_20180105,01/05/2018 12:00:00 AM,96,Routine - Unscheduled,10668,2018-01-05,2018
1075_20170726,07/26/2017 12:00:00 AM,87,Routine - Unscheduled,1075,2017-07-26,2017
1075_20170808,08/08/2017 12:00:00 AM,-1,Reinspection/Followup,1075,2017-08-08,2017
1075_20180427,04/27/2018 12:00:00 AM,89,Routine - Unscheduled,1075,2018-04-27,2018
1075_20190926,09/26/2019 12:00:00 AM,94,Routine - Unscheduled,1075,2019-09-26,2019
1081_20171106,11/06/2017 12:00:00 AM,88,Routine - Unscheduled,1081,2017-11-06,2017
1081_20171204,12/04/2017 12:00:00 AM,-1,Reinspection/Followup,1081,2017-12-04,2017
1081_20180202,02/02/2018 12:00:00 AM,-1,Reinspection/Followup,1081,2018-02-02,2018
1081_20180523,05/23/2018 12:00:00 AM,94,Routine - Unscheduled,1081,2018-05-23,2018
1081_20190417,04/17/2019 12:00:00 AM,89,Routine - Unscheduled,1081,2019-04-17,2019
1081_20190520,05/20/2019 12:00:00 AM,-1,Reinspection/Followup,1081,2019-05-20,2019
10875_20171221,12/21/2017 12:00:00 AM,-1,Complaint,10875,2017-12-21,2017
10875_20180411,04/11/2018 12:00:00 AM,90,Routine - Unscheduled,10875,2018-04-11,2018
10875_20180425,04/25/2018 12:00:00 AM,-1,Reinspection/Followup,10875,2018-04-25,2018
10875_20180524,05/24/2018 12:00:00 AM,-1,Foodborne Illness Investigation,10875,2018-05-24,2018
10875_20190313,03/13/2019 12:00:00 AM,92,Routine - Unscheduled,10875,2019-03-13,2019
1144_20161006,10/06/2016 12:00:00 AM,-1,Reinspection/Followup,1144,2016-10-06,2016
1144_20170828,08/28/2017 12:00:00 AM,88,Routine - Unscheduled,1144,2017-08-28,2017
1144_20170919,09/19/2017 12:00:00 AM,-1,Reinspection/Followup,1144,2017-09-19,2017
1144_20180226,02/26/2018 12:00:00 AM,88,Routine - Unscheduled,1144,2018-02-26,2018
1144_20180307,03/07/2018 12:00:00 AM,-1,Reinspection/Followup,1144,2018-03-07,2018
1144_20180828,08/28/2018 12:00:00 AM,92,Routine - Unscheduled,1144,2018-08-28,2018
1146_20180223,02/23/2018 12:00:00 AM,77,Routine - Unscheduled,1146,2018-02-23,2018
1146_20180301,03/01/2018 12:00:00 AM,-1,Reinspection/Followup,1146,2018-03-01,2018
121_20170418,04/18/2017 12:00:00 AM,90,Routine - Unscheduled,121,2017-04-18,2017
121_20180514,05/14/2018 12:00:00 AM,90,Routine - Unscheduled,121,2018-05-14,2018
121_20180601,06/01/2018 12:00:00 AM,-1,Reinspection/Followup,121,2018-06-01,2018
121_20190308,03/08/2019 12:00:00 AM,90,Routine - Unscheduled,121,2019-03-08,2019
121_20191002,10/02/2019 12:00:00 AM,88,Routine - Unscheduled,121,2019-10-02,2019
1231_20161117,11/17/2016 12:00:00 AM,85,Routine - Unscheduled,1231,2016-11-17,2016
1231_20171031,10/31/2017 12:00:00 AM,74,Routine - Unscheduled,1231,2017-10-31,2017
1231_20171121,11/21/2017 12:00:00 AM,-1,Reinspection/Followup,1231,2017-11-21,2017
1231_20180117,01/17/2018 12:00:00 AM,-1,Complaint,1231,2018-01-17,2018
1231_20180207,02/07/2018 12:00:00 AM,-1,Complaint Reinspection/Followup,1231,2018-02-07,2018
1231_20180625,06/25/2018 12:00:00 AM,74,Routine - Unscheduled,1231,2018-06-25,2018
1231_20180705,07/05/2018 12:00:00 AM,-1,Reinspection/Followup,1231,2018-07-05,2018
1231_20180706,07/06/2018 12:00:00 AM,-1,Reinspection/Followup,1231,2018-07-06,2018
1231_20180709,07/09/2018 12:00:00 AM,-1,Reinspection/Followup,1231,2018-07-09,2018
1231_20180920,09/20/2018 12:00:00 AM,-1,Reinspection/Followup,1231,2018-09-20,2018
1231_20190904,09/04/2019 12:00:00 AM,-1,New Construction,1231,2019-09-04,2019
1231_20190917,09/17/2019 12:00:00 AM,83,Routine - Unscheduled,1231,2019-09-17,2019
1261_20171201,12/01/2017 12:00:00 AM,88,Routine - Unscheduled,1261,2017-12-01,2017
1261_20171212,12/12/2017 12:00:00 AM,-1,Reinspection/Followup,1261,2017-12-12,2017
1261_20190710,07/10/2019 12:00:00 AM,96,Routine - Unscheduled,1261,2019-07-10,2019
1296_20170926,09/26/2017 12:00:00 AM,83,Routine - Unscheduled,1296,2017-09-26,2017
1296_20171004,10/04/2017 12:00:00 AM,-1,Reinspection/Followup,1296,2017-10-04,2017
1296_20180501,05/01/2018 12:00:00 AM,82,Routine - Unscheduled,1296,2018-05-01,2018
1296_20180511,05/11/2018 12:00:00 AM,-1,Reinspection/Followup,1296,2018-05-11,2018
1296_20181025,10/25/2018 12:00:00 AM,81,Routine - Unscheduled,1296,2018-10-25,2018
1296_20181109,11/09/2018 12:00:00 AM,-1,Reinspection/Followup,1296,2018-11-09,2018
1296_20190910,09/10/2019 12:00:00 AM,85,Routine - Unscheduled,1296,2019-09-10,2019
1322_20171128,11/28/2017 12:00:00 AM,94,Routine - Unscheduled,1322,2017-11-28,2017
1322_20180926,09/26/2018 12:00:00 AM,91,Routine - Unscheduled,1322,2018-09-26,2018
1322_20190312,03/12/2019 12:00:00 AM,96,Routine - Unscheduled,1322,2019-03-12,2019
1323_20170531,05/31/2017 12:00:00 AM,94,Routine - Unscheduled,1323,2017-05-31,2017
1323_20171127,11/27/2017 12:00:00 AM,94,Routine - Unscheduled,1323,2017-11-27,2017
1332_20171016,10/16/2017 12:00:00 AM,87,Routine - Unscheduled,1332,2017-10-16,2017
1332_20171024,10/24/2017 12:00:00 AM,-1,Reinspection/Followup,1332,2017-10-24,2017
1332_20171030,10/30/2017 12:00:00 AM,-1,Reinspection/Followup,1332,2017-10-30,2017
1332_20171114,11/14/2017 12:00:00 AM,-1,Reinspection/Followup,1332,2017-11-14,2017
1332_20180524,05/24/2018 12:00:00 AM,92,Routine - Unscheduled,1332,2018-05-24,2018
1332_20190821,08/21/2019 12:00:00 AM,96,Routine - Unscheduled,1332,2019-08-21,2019
1339_20161221,12/21/2016 12:00:00 AM,90,Routine - Unscheduled,1339,2016-12-21,2016
1339_20170822,08/22/2017 12:00:00 AM,80,Routine - Unscheduled,1339,2017-08-22,2017
1339_20170914,09/14/2017 12:00:00 AM,-1,Reinspection/Followup,1339,2017-09-14,2017
1339_20180619,06/19/2018 12:00:00 AM,89,Routine - Unscheduled,1339,2018-06-19,2018
1339_20180726,07/26/2018 12:00:00 AM,-1,Complaint,1339,2018-07-26,2018
1339_20180810,08/10/2018 12:00:00 AM,-1,Complaint Reinspection/Followup,1339,2018-08-10,2018
1339_20190702,07/02/2019 12:00:00 AM,96,Routine - Unscheduled,1339,2019-07-02,2019
1339_20190712,07/12/2019 12:00:00 AM,-1,Non-inspection site visit,1339,2019-07-12,2019
1339_20190716,07/16/2019 12:00:00 AM,-1,Reinspection/Followup,1339,2019-07-16,2019
1339_20190723,07/23/2019 12:00:00 AM,-1,Reinspection/Followup,1339,2019-07-23,2019
1339_20190806,08/06/2019 12:00:00 AM,-1,Reinspection/Followup,1339,2019-08-06,2019
1345_20170928,09/28/2017 12:00:00 AM,81,Routine - Unscheduled,1345,2017-09-28,2017
1345_20171005,10/05/2017 12:00:00 AM,-1,Reinspection/Followup,1345,2017-10-05,2017
1345_20180626,06/26/2018 12:00:00 AM,80,Routine - Unscheduled,1345,2018-06-26,2018
1345_20180627,06/27/2018 12:00:00 AM,-1,Non-inspection site visit,1345,2018-06-27,2018
1345_20180712,07/12/2018 12:00:00 AM,-1,Reinspection/Followup,1345,2018-07-12,2018
1350_20170105,01/05/2017 12:00:00 AM,80,Routine - Unscheduled,1350,2017-01-05,2017
1350_20170118,01/18/2017 12:00:00 AM,80,Routine - Unscheduled,1350,2017-01-18,2017
1350_20180516,05/16/2018 12:00:00 AM,81,Routine - Unscheduled,1350,2018-05-16,2018
